time,seconds_elapsed,z,y,x
1718607462166237400,41.923237548828126,-63.631248474121094,-3.3350000381469727,26.619998931884766
1718607462216358400,41.9733583984375,-62.412498474121094,-3.7849998474121094,27.013750076293945
1718607462266473500,42.023473388671874,-60.89374923706055,-4.891249656677246,27.33249855041504
1718607462316610600,42.07361059570312,-59.84375,-4.591249942779541,27.651248931884766
1718607462366768600,42.1237685546875,-58.64374923706055,-3.653749942779541,28.045000076293945
1718607462416897800,42.173897705078126,-56.71249771118164,-3.1287498474121094,27.932498931884766
1718607462467019000,42.22401904296875,-54.21875,-2.8662500381469727,26.563749313354492
1718607462517136400,42.27413647460938,-50.599998474121094,-3.916249990463257,26.11374855041504
1718607462567272000,42.32427197265625,-47.39374923706055,-6.541249752044678,26.263750076293945
1718607462617399800,42.37439990234375,-44.43124771118164,-9.803750038146973,27.838748931884766
1718607462667495200,42.4244951171875,-43.41875076293945,-12.934999465942383,29.469999313354492
1718607462717630000,42.4746298828125,-45.6875,-16.90999984741211,30.72624969482422
1718607462767766800,42.52476684570313,-49.34375,-19.51624870300293,31.701250076293945
1718607462817903600,42.57490356445312,-53.48749923706055,-20.322500228881836,32.88249969482422
1718607462868020000,42.62502001953125,-57.5,-20.09749984741211,34.15749740600586
1718607462918174200,42.67517431640625,-60.79999923706055,-18.184999465942383,35.45124816894531
1718607462968276200,42.725276123046875,-63.40625,-15.091249465942383,36.10749816894531
1718607463018421000,42.7754208984375,-64.6624984741211,-12.053750038146973,37.026248931884766
1718607463068531500,42.82553149414063,-64.2125015258789,-9.578749656677246,38.65749740600586
1718607463118679800,42.8756796875,-62.75,-7.291249752044678,39.63249969482422
1718607463168772900,42.92577294921875,-61.86874771118164,-6.484999656677246,40.00749969482422
1718607463218913800,42.97591381835937,-61.39999771118164,-6.447499752044678,40.307498931884766
1718607463269013800,43.026013671875,-62.01874923706055,-6.091249942779541,40.04499816894531
1718607463319146500,43.076146484375,-63.19999694824219,-5.903749942779541,40.682498931884766
1718607463369266400,43.126266357421876,-63.94999694824219,-6.184999942779541,40.66374969482422
1718607463419377000,43.176376953125,-64.26874542236328,-6.259999752044678,39.91374969482422
1718607463469504500,43.22650439453125,-64.54999542236328,-6.184999942779541,40.66374969482422
1718607463519654100,43.27665405273437,-64.51249694824219,-6.597499847412109,41.526248931884766
1718607463569797400,43.32679736328125,-63.93124771118164,-6.222499847412109,41.41374969482422
1718607463619915300,43.376915283203125,-62.99374771118164,-6.747499942779541,42.40749740600586
1718607463670018300,43.42701831054688,-62.76874923706055,-7.722499847412109,43.963748931884766
1718607463720165600,43.47716552734375,-62.318748474121094,-7.703749656677246,44.11375045776367
1718607463770281700,43.52728173828125,-61.86874771118164,-7.647500038146973,44.56374740600586
1718607463820423000,43.5774228515625,-61.86874771118164,-7.647500038146973,44.56374740600586
1718607463870533600,43.62753369140625,-61.71875,-7.009999752044678,44.63874816894531
1718607463920683800,43.677683837890626,-61.11874771118164,-6.409999847412109,45.44499969482422
1718607463970780400,43.727780517578125,-60.64999771118164,-6.991250038146973,45.96999740600586
1718607464020925000,43.77792504882812,-60.18124771118164,-7.328749656677246,46.38249969482422
1718607464071033000,43.828033203125,-60.76249694824219,-6.878749847412109,46.88874816894531
1718607464121180000,43.878179931640624,-61.25,-6.203749656677246,46.213748931884766
1718607464171322600,43.92832250976563,-60.83749771118164,-5.903749942779541,45.33250045776367
1718607464221439700,43.97843969726563,-60.85624694824219,-5.585000038146973,44.77000045776367
1718607464271594200,44.02859423828125,-61.474998474121094,-5.378749847412109,44.338748931884766
1718607464321723600,44.0787236328125,-61.92499923706055,-5.509999752044678,44.338748931884766
1718607464371844600,44.1288447265625,-62.09375,-5.191249847412109,43.776248931884766
1718607464421955300,44.17895532226562,-62.73124694824219,-4.403749942779541,42.80125045776367
1718607464472085500,44.22908544921875,-64.13749694824219,-3.541249990463257,41.39500045776367
1718607464522194000,44.27919384765625,-64.90625,-2.884999990463257,41.619998931884766
1718607464572311300,44.329311279296874,-63.6875,-1.9850000143051147,42.76374816894531
1718607464622402600,44.379402587890624,-62.506248474121094,-2.0225000381469727,42.44499969482422
1718607464672542200,44.429542236328125,-63.38749694824219,-2.791249990463257,42.369998931884766
1718607464722657800,44.47965771484375,-63.96875,-2.922499895095825,42.52000045776367
1718607464772788200,44.52978833007813,-65.1875,-2.603749990463257,41.95750045776367
1718607464822899700,44.579899658203125,-66.29374694824219,-1.6662499904632568,41.16999816894531
1718607464873048300,44.63004833984375,-66.3125,-1.216249942779541,40.60749816894531
1718607464923169500,44.68016943359375,-66.4437484741211,-1.441249966621399,41.03874969482422
1718607464973274400,44.7302744140625,-66.40625,-2.3787498474121094,41.84499740600586
1718607465023416600,44.78041650390625,-66.6500015258789,-3.297499895095825,42.80125045776367
1718607465073579000,44.8305791015625,-67.6624984741211,-3.6912498474121094,43.98249816894531
1718607465123700000,44.88069995117188,-68.07499694824219,-4.066249847412109,45.16374969482422
1718607465173830700,44.93083056640625,-68.5062484741211,-4.028749942779541,45.61375045776367
1718607465223953200,44.980953125,-70.26874542236328,-4.309999942779541,46.66374969482422
1718607465274111200,45.031111328125,-72.03125,-5.022500038146973,47.35749816894531
1718607465324258000,45.08125805664063,-73.3812484741211,-4.572499752044678,48.03249740600586
1718607465374390800,45.131390869140624,-75.3499984741211,-3.559999942779541,48.16374969482422
1718607465424511000,45.18151098632813,-77.6187515258789,-2.172499895095825,48.182498931884766
1718607465474666800,45.23166674804688,-79.1937484741211,0.4712499976158142,48.01374816894531
1718607465524784400,45.28178442382813,-79.54999542236328,2.440000057220459,47.31999969482422
1718607465574916600,45.33191650390625,-77.16874694824219,2.9462499618530273,47.057498931884766
1718607465625026300,45.3820263671875,-74.63749694824219,3.302500009536743,46.60749816894531
1718607465675183400,45.432183349609375,-73.5875015258789,2.4024999141693115,46.494998931884766
1718607465725310500,45.482310546875,-72.6500015258789,0.4337500035762787,45.838748931884766
1718607465775441200,45.53244116210937,-72.21875,-0.1850000023841858,44.86375045776367
1718607465825552100,45.58255224609375,-72.48124694824219,-1.4787499904632568,44.73249816894531
1718607465875701000,45.632700927734376,-72.57499694824219,-3.297499895095825,45.59499740600586
